"['houston', 20332.178571428572, 14000.0]"
"['madison', 12283.023255813954, 8500.0]"
"['tallahassee', 26263.444444444445, 18000.0]"
"['birmingham', 16205.192307692309, 12250.0]"
"['cincinnati', 14054.516129032258, 16495.0]"
"['annarbor', 17081.282051282051, 9900.0]"
"['newyorkcity', 16952.182795698925, 14500.0]"
"['fortwayne', 14347.985074626866, 11575.0]"
"['greenbay', 9840.0240963855413, 7500.0]"
"['clarksville', 20883.461538461539, 15500.0]"
"['denver', 20498.726315789474, 18495.0]"
"['lansing', 21769.471698113208, 17495.0]"
"['sanantonio', 21542.885416666668, 18347.5]"
"['eugene', 19886.755813953489, 16995.0]"
"['boulder', 20163.075268817203, 18995.0]"
"['tulsa', 23215.808510638297, 15400.0]"
"['amarillo', 26848.764705882353, 17472.5]"
"['jacksonville', 14148.276595744681, 12500.0]"
"['syracuse', 17958.434782608696, 12900.0]"
"['pueblo', 18184.958333333332, 17995.0]"
"['lincoln', 12268.421052631578, 9999.0]"
"['wilmington', 13740.183673469388, 12000.0]"
"['lexington', 26157.106666666667, 13000.0]"
"['modesto', 19221.117647058825, 17800.0]"
"['coloradosprings', 20260.583333333332, 18995.0]"
"['milwaukee', 13511.273809523809, 8747.5]"
"['orlando', 35645.827160493827, 17495.0]"
"['lascruces', 21198.413793103449, 16000.0]"
"['cleveland', 22050.721649484534, 16900.0]"
"['portland', 27357.447368421053, 15450.0]"
"['batonrouge', 17673.760869565216, 15500.0]"
"['lancaster', 16728.593406593405, 11000.0]"
"['jackson', 26900.173076923078, 13449.5]"
"['chicago', 16261.12676056338, 9900.0]"
"['knoxville', 20432.072463768116, 14890.0]"
"['richmond', 20099.666666666668, 11995.0]"
"['toledo', 17653.850574712644, 13900.0]"
"['columbus', 33744.489583333336, 17500.0]"
"['losangeles', 24036.528571428571, 13925.0]"
"['fortlauderdale', 18552.363636363636, 12600.0]"
"['nashville', 22684.49019607843, 12500.0]"
"['albuquerque', 24074.195652173912, 18245.0]"
"['boise', 23224.247422680412, 23671.0]"
"['winston-salem', 17379.383561643837, 10000.0]"
"['shreveport', 14177.025, 10950.0]"
"['grandrapids', 24968.782608695652, 12900.0]"
"['bakersfield', 30745.121951219513, 28715.0]"
"['desmoines', 12325.640449438202, 6500.0]"
"['collegestation', 21142.164556962027, 17995.0]"
"['elpaso', 18752.643678160919, 15900.0]"
"['topeka', 12560.5, 9900.0]"
"['charleston', 13125.428571428571, 8000.0]"
"['austin', 20122.927835051545, 18900.0]"
"['greensboro', 18136.595505617977, 13000.0]"
"['stockton', 22173.396825396827, 17000.0]"
"['neworleans', 20310.844444444443, 14997.5]"
"['athens', 34780.784946236556, 18500.0]"
"['cedarrapids', 14665.394736842105, 8773.0]"
"['kansascity', 15404.936170212766, 10200.0]"
"['waco', 18282.299999999999, 17995.0]"
"['philadelphia', 31961.166666666668, 19999.0]"
"['lasvegas', 24670.419354838708, 19500.0]"
"['evansville', 16122.323076923078, 12000.0]"
"['laredo', 15474.863636363636, 17995.0]"
"['pittsburgh', 12990.101449275362, 10930.0]"
"['peoria', 13446.381818181819, 8550.0]"
"['hartford', 15983.22891566265, 14500.0]"
"['saltlakecity', 40035.105263157893, 26590.5]"
"['atlanta', 25544.346153846152, 18799.5]"
"['memphis', 28882.707692307693, 12000.0]"
"['rockford', 14926.469879518072, 8995.0]"
"['sandiego', 18288.136363636364, 8200.0]"
"['oklahomacity', 19602.107142857141, 14450.0]"
"['sanangelo', 20691.78125, 18949.5]"
"['augusta', 29757.489130434784, 18799.0]"
"['tucson', 23675.567010309278, 16000.0]"
"['charlotte', 16056.989361702128, 10247.5]"
"['boston', 16682.529411764706, 8975.0]"
"['salem', 19984.344262295082, 15500.0]"
"['newhaven', 15719.116279069767, 11999.5]"
"['rochester', 15864.693333333333, 9895.0]"
"['abilene', 19661.925925925927, 17995.0]"
"['lubbock', 23313.716049382718, 17950.0]"
"['wichitafalls', 16056.142857142857, 11800.0]"
"['gainesville', 21676.892857142859, 13500.0]"
"['montgomery', 23239.0, 15363.5]"
"['louisville', 17070.767123287671, 12000.0]"
"['springfield', 17863.147368421054, 14000.0]"
"['indianapolis', 23674.620253164558, 18495.0]"
"['columbia', 17165.866666666665, 11200.0]"
"['phoenix', 24817.630952380954, 18745.0]"
"['sacramento', 23376.442307692309, 12900.0]"
"['brownsville', 20526.010869565216, 17995.0]"
"['littlerock', 22444.557142857142, 12265.5]"
"['santamaria', 30745.121951219513, 28715.0]"
"['billings', 26403.840909090908, 19447.5]"
"['chattanooga', 18053.5873015873, 10500.0]"
"['mobile', 24594.955056179777, 15900.0]"
"['lakeland', 24070.612499999999, 13897.5]"
"['wichita', 19455.864583333332, 13995.0]"
"['corpuschristi', 18607.114583333332, 17995.0]"
"['lafayette', 16480.479166666668, 14995.0]"
"['baltimore', 12854.169491525423, 11000.0]"
"['fayetteville', 17856.543478260868, 11187.5]"
"['buffalo', 19045.98795180723, 12000.0]"
